epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.4361	0.4591	864	0.83 hr	280.43s	353.88s	634.31s
19	0.5036	0.4809	1824	1.68 hr	283.54s	376.13s	659.67s
29	0.6590	0.3875	2784	2.72 hr	430.39s	511.96s	942.36s
39	0.5466	0.4084	3744	4.05 hr	343.37s	351.32s	694.70s
49	0.6426	0.3334	4704	4.84 hr	268.47s	330.24s	598.71s
59	0.6657	0.3530	5664	5.28 hr	41.21s	286.18s	327.38s
69	0.5765	0.3709	6624	5.53 hr	53.45s	295.81s	349.26s
79	0.7076	0.3305	7584	5.80 hr	56.40s	291.42s	347.82s
89	0.7050	0.3547	8544	6.08 hr	46.21s	292.13s	338.34s
99	0.7034	0.3125	9504	6.34 hr	55.27s	294.18s	349.46s
109	0.7166	0.3138	10464	6.61 hr	54.04s	289.71s	343.75s
119	0.7242	0.2844	11424	6.94 hr	53.16s	290.53s	343.70s
129	0.7315	0.3155	12384	7.24 hr	73.54s	294.41s	367.95s
139	0.7227	0.2997	13344	7.54 hr	60.58s	296.99s	357.57s
149	0.6537	0.2975	14304	7.84 hr	66.12s	295.38s	361.51s
159	0.7190	0.3099	15264	8.16 hr	71.25s	290.86s	362.12s
169	0.6878	0.2833	16224	8.45 hr	70.57s	295.37s	365.93s
179	0.7547	0.2969	17184	8.73 hr	54.32s	292.22s	346.54s
189	0.7379	0.2852	18144	9.02 hr	74.49s	294.49s	368.98s
199	0.7164	0.2886	19104	9.32 hr	46.88s	294.15s	341.03s
209	0.7456	0.3237	20064	9.57 hr	45.48s	296.11s	341.59s
219	0.7275	0.2602	21024	9.85 hr	60.46s	291.98s	352.44s
229	0.7511	0.2742	21984	10.12 hr	52.79s	296.41s	349.21s
239	0.6881	0.2562	22944	10.40 hr	63.94s	292.17s	356.11s
249	0.7320	0.2693	23904	10.68 hr	59.36s	297.34s	356.70s
259	0.7367	0.2821	24864	10.97 hr	46.55s	292.44s	338.99s
269	0.7395	0.2979	25824	11.23 hr	70.57s	295.54s	366.12s
279	0.7411	0.3062	26784	11.51 hr	64.24s	292.14s	356.38s
289	0.6578	0.3703	27744	11.77 hr	53.81s	292.40s	346.21s
